Codigo da oferta;Codigo da serie;Emissor;Nome do devedor;Nome de operacao;Emissao;Serie;Data de encerramento da oferta;Status da oferta;Valor total encerrado da serie;TVM;Coordenador lider;Preco unitario;Quantidade total emitida da serie;Valor total emitido da serie;Quantidade total encerrada da serie;Prazo serie;Indexador;Spread;Juros;Periodicidade taxa;Periodicidade pagamento;Data do inicio da rentabilidade;Data de vencimento;Serie senior junior;Setor ANBIMA emissor ou devedor;Segmento ANBIMA emissor ou devedor;Data de emissao;Lei 12431;Artigo da 12431;Garantia;Lastro;Risco de credito
SRE/2023/02620;CVM/SRE/AUT/CRI/PRI/2023/372;Vert companhia securitizadora;;Mrv;112;5;07/02/2024;Encerrada;900000;CRI;Guide investimentos s.a. corretora de valores;1;900000;900000;900000;5;IPCA;11;;Anualmente;Mensalmente;;11/08/2028;;Financeiro;Securitizadoras;11/08/2023;Não se aplica;;Não se aplica;;
SRE/2023/02620;CVM/SRE/AUT/CRI/PRI/2023/373;Vert companhia securitizadora;;Mrv;112;6;07/02/2024;Encerrada;5000000;CRI;Guide investimentos s.a. corretora de valores;1;5000000;5000000;5000000;5;IPCA;11;;Anualmente;Mensalmente;;11/08/2028;;Financeiro;Securitizadoras;11/08/2023;Não se aplica;;Não se aplica;;
SRE/2023/02620;CVM/SRE/AUT/CRI/PRI/2023/374;Vert companhia securitizadora;;Mrv;112;7;07/02/2024;Encerrada;35000000;CRI;Guide investimentos s.a. corretora de valores;1;35000000;35000000;35000000;5;IPCA;11;;Anualmente;Mensalmente;;11/08/2028;;Financeiro;Securitizadoras;11/08/2023;Não se aplica;;Não se aplica;;
SRE/2023/02620;CVM/SRE/AUT/CRI/PRI/2023/375;Vert companhia securitizadora;;Mrv;112;8;07/02/2024;Encerrada;50000000;CRI;Guide investimentos s.a. corretora de valores;1;50000000;50000000;50000000;5;IPCA;11;;Anualmente;Mensalmente;;11/08/2028;;Financeiro;Securitizadoras;11/08/2023;Não se aplica;;Não se aplica;;
SRE/2023/02620;CVM/SRE/AUT/CRI/PRI/2023/376;Vert companhia securitizadora;;Mrv;112;9;07/02/2024;Encerrada;10300000;CRI;Guide investimentos s.a. corretora de valores;1;10300000;10300000;10300000;5;IPCA;11;;Anualmente;Mensalmente;;11/08/2028;;Financeiro;Securitizadoras;11/08/2023;Não se aplica;;Não se aplica;;
SRE/2023/02620;CVM/SRE/AUT/CRI/PRI/2023/377;Vert companhia securitizadora;;Mrv;112;10;07/02/2024;Encerrada;8192452;CRI;Guide investimentos s.a. corretora de valores;1;8192452;8192452;8192452;5;IPCA;11;;Anualmente;Mensalmente;;11/08/2028;;Financeiro;Securitizadoras;11/08/2023;Não se aplica;;Não se aplica;;
SRE/2024/04225;CVM/SRE/AUT/CRI/PRI/2024/007;Canal companhia de securitizacao;;Iturama e paineras;81;Série Única;07/02/2024;Encerrada;28850000;CRI;Canal companhia de securitizacao;1000;28850;28850000;28850;10,1;IPCA;9,8;;Anualmente;Mensalmente;15/01/2024;27/01/2034;;Financeiro;Securitizadoras;04/01/2024;Não se aplica;;Não se aplica;;
SRE/2024/04269;CVM/SRE/AUT/CRI/PRI/2024/071;Opea securitizadora s.a.;;Project green (brookfield);225;Série Única;07/02/2024;Encerrada;1031993000;CRI;Banco itau bba s.a.;1000;1031993;1031993000;1031993;5;DI + Spread;1,5;;Anualmente;Trimestralmente;;22/01/2029;;Financeiro;Securitizadoras;02/02/2024;Não se aplica;;Não se aplica;;
SRE/2024/04476;CVM/SRE/AUT/DEB/PRI/2024/020;Da mata s.a. - acucar e alcool;;;1;Série Única;07/02/2024;Encerrada;299000000;Debêntures;Banco itau bba s.a.;1000;299000;299000000;299000;8;IPCA;6,66;;Anualmente;Semestralmente;26/01/2024;15/01/2032;Não se aplica;Bioenergia;;15/01/2024;Sim;2;Quirografária com garantia Adicional;;Não se aplica
SRE/2024/04358;CVM/SRE/AUT/CRI/PRI/2024/081;Companhia provincia de securitizacao;;;40;1;08/02/2024;Encerrada;96101000;CRI;Ubs brasil corretora de cambio, titulos e valores mobiliarios s.a.;1000;96101;96101000;96101;7;IPCA;7;;Anualmente;Mensalmente;;15/01/2031;;Financeiro;Securitizadoras;15/01/2024;Não se aplica;;Não se aplica;;
SRE/2024/04358;CVM/SRE/AUT/CRI/PRI/2024/082;Companhia provincia de securitizacao;;;40;2;08/02/2024;Encerrada;5339000;CRI;Ubs brasil corretora de cambio, titulos e valores mobiliarios s.a.;1000;5339;5339000;5339;7,5;IPCA;10;;Anualmente;Mensalmente;;15/07/2031;;Financeiro;Securitizadoras;15/01/2024;Não se aplica;;Não se aplica;;
SRE/2024/04472;CVM/SRE/AUT/CRI/PRI/2024/065;Vert companhia securitizadora;;Tecnisa s.a;123;Série Única;08/02/2024;Encerrada;40000000;CRI;Vert companhia securitizadora;1000;40000;40000000;40000;3;DI + Spread;6;;Anualmente;Mensalmente;01/02/2024;22/01/2027;;Financeiro;Securitizadoras;22/01/2024;Não se aplica;;Não se aplica;;
SRE/2024/14521;CVM/SRE/AUT/DEB/PRI/2024/024;Energisa mato grosso do sul - distribuidora de energia s.a.;;;21;Série Única;08/02/2024;Encerrada;400000000;Debêntures;Banco itau bba s.a.;1000;400000;400000000;400000;7;IPCA;6,1076;;Anualmente;Semestralmente;07/02/2024;15/02/2031;Não se aplica;Energia elétrica;Distribuidora ou transmissora;07/02/2024;Sim;2;Quirografária com garantia Adicional;;Não se aplica
SRE/2024/14522;CVM/SRE/AUT/DEB/PRI/2024/025;Energisa mato grosso - distribuidora de energia s.a.;;;17;Série Única;08/02/2024;Encerrada;400000000;Debêntures;Banco itau bba s.a.;1000;400000;400000000;400000;7;IPCA;6,1076;;Anualmente;Semestralmente;07/02/2024;15/02/2031;Não se aplica;Energia elétrica;Distribuidora ou transmissora;07/02/2024;Sim;2;Quirografária com garantia Adicional;;Não se aplica
SRE/2024/04286;CVM/SRE/AUT/CRA/PRI/2024/033;Virgo companhia de securitizacao;;Corp cereal ii;183;1;09/02/2024;Encerrada;84000000;CRA;Bb-banco de investimento s.a.;1000;84000;84000000;84000;5;DI + Spread;1,8;;Anualmente;Semestralmente;08/02/2024;15/01/2029;;Financeiro;Securitizadoras;15/01/2024;Não se aplica;;Não se aplica;;
SRE/2024/04286;CVM/SRE/AUT/CRA/PRI/2024/034;Virgo companhia de securitizacao;;Corp cereal ii;183;2;09/02/2024;Encerrada;111064000;CRA;Bb-banco de investimento s.a.;1000;111064;111064000;111064;5;IPCA;7,4367;;Anualmente;Semestralmente;08/02/2024;15/01/2029;;Financeiro;Securitizadoras;15/01/2024;Não se aplica;;Não se aplica;;
SRE/2024/04286;CVM/SRE/AUT/CRA/PRI/2024/035;Virgo companhia de securitizacao;;Corp cereal ii;183;3;09/02/2024;Encerrada;104936000;CRA;Bb-banco de investimento s.a.;1000;104936;104936000;104936;7;IPCA;7,9443;;Anualmente;Semestralmente;08/02/2024;15/01/2031;;Financeiro;Securitizadoras;15/01/2024;Não se aplica;;Não se aplica;;
SRE/2023/03754;CVM/SRE/AUT/CRI/PRI/2023/607;Canal companhia de securitizacao;;Brasol sistemas;70;1;14/02/2024;Encerrada;78880000;CRI;Canal companhia de securitizacao;1000;78880;78880000;78880;10,5;IPCA;9;;Anualmente;Mensalmente;;28/05/2034;;Financeiro;Securitizadoras;30/11/2023;Não se aplica;;Não se aplica;;
SRE/2024/14712;CVM/SRE/AUT/DEB/PRI/2024/066;Concessionaria ecovias dos imigrantes s.a.;;;6;Série Única;07/03/2024;Encerrada;1630000000;Debêntures;Banco itau bba s.a.;1000;1630000;1630000000;1630000;9;IPCA;6,095;;Anualmente;Semestralmente;06/03/2024;15/02/2033;Não se aplica;Transporte e logística;Transporte rodoviário;15/02/2024;Sim;2;Quirografária;;Não se aplica
